id,name,slug,start_year,end_year,type,parent_id,notes
1,Live Nation Entertainment,live_nation_entertainment,,,company,NULL,
2,Live Nation,live_nation,,,promoter,1,
3,Ticketmaster,ticketmaster,,,ticket_distributor,,
4,Rainbow-Ticketmaster,rainbow_tm,,,ticket_distributor,3,
5,Ticketron,ticketron,,,ticket_distributor,,
6,Apple,apple,,,company,,
7,Apple Music,apple_music,,,digital service provider,6,
8,Amazon,amazon,,,company,,
9,Amazon Music,amazon_music,,,digital service provider,8,
10,TIDAL,tidal,,,digital service provider,,
11,YouTube,youtube,,,company,,
12,YouTube Music,youtube_music,,,digital service provider,11,
13,Deezer,deezer,,,digital service provider,,
14,Serius XM,serius_xm,,,company,,
15,Pandora,pandora,,,digital service provider,14,
16,Spotify,spotify,,,digital service provider,,
17,TikTok,tiktok,,,company,,
18,CBS Inc.,cbs_inc,,,,,
19,CBS/Sony Records,cbs_sony_records,1968,1988,joint_venture,,
20,CBS Records Group,cbs_records_group,,,,18,
21,Sony Group Corporation,sony_group_corporation,1946,,,,"Originally Tokyo Tsushin Kogyo K.K., renamed to Sony Corporation in 1958, then renamed to Sony Group Corporation in 2021"
22,Sony Music Entertainment,sony_music_entertainment,,,,21,
23,Universal Music Group,universal_music_group,,,,,
24,warner_music_group,warner_music_group,,,,,
