id,name,slug,abbr,country_id
-1,Unknown,unknown,UNK,
1,Alabama,alabama,AL,840
2,Alaska,alaska,AK,840
3,Arizona,arizona,AZ,840
4,Arkansas,arkansas,AR,840
5,California,california,CA,840
6,Colorado,colorado,CO,840
7,Connecticut,connecticut,CT,840
8,Delaware,delaware,DE,840
9,Florida,florida,FL,840
10,Georgia,georgia,GA,840
11,Hawaii,hawaii,HI,840
12,Idaho,idaho,ID,840
13,Illinois,illinois,IL,840
14,Indiana,indiana,IN,840
15,Iowa,iowa,IA,840
16,Kansas,kansas,KS,840
17,Kentucky,kentucky,KY,840
18,Lousiana,lousiana,LA,840
19,Maine,maine,ME,840
20,Maryland,maryland,MD,840
21,Massachusetts,massachusetts,MA,840
22,Michigan,michigan,MI,840
23,Minnesota,minnesota,MN,840
24,Mississippi,mississippi,MS,840
25,Missouri,missouri,MO,840
26,Montana,montana,MT,840
27,Nebraska,nebraska,NE,840
28,Nevada,nevada,NV,840
29,New Hampshire,new-hampshire,NH,840
30,New Jersey,new-jersey,NJ,840
31,New Mexico,new-mexico,NM,840
32,New York,new-york,NY,840
33,North Carolina,north-carolina,NC,840
34,North Dakota,north-dakota,ND,840
35,Ohio,ohio,OH,840
36,Oklahoma,oklahoma,OK,840
37,Oregon,oregon,OR,840
38,Pennsylvania,pennsylvania,PA,840
39,Rhode Island,rhode-island,RI,840
40,South Carolina,south-carolina,SC,840
41,South Dakota,south-dakota,SD,840
42,Tennessee,tennessee,TN,840
43,Texas,texas,TX,840
44,Utah,utah,UT,840
45,Vermont,vermont,VT,840
46,Virginia,virginia,VA,840
47,Washington,washington,WA,840
48,West Virginia,west-virginia,WV,840
49,Wisconsin,wisconsin,WI,840
50,Wyoming,wyoming,WY,840
51,District of Columbia,district-of-columbia,DC,840
52,American Samoa,american-samoa,AS,840
53,Guam,guam,GU,840
54,Northern Mariana Islands,northern-mariana,MP,840
55,Puerto Rico,puerto-rico,PR,840
56,United States Minor Outlying Islands,united-states-minor-outlying-islands,UM,840
57,Virgin Islands,virgin-islands,VI,840
58,Manitoba,manitoba,MB,124
59,Alberta,alberta,AB,124
60,Ontario,ontario,ON,124
61,Quebec,quebec,QC,124
62,British Columbia,british-columbia,BC,124
