entity_id,segment_id,parent_segment_id,segment_name
apple,other_music_products_services,services,Other music related products and services
apple,service_other_sales,services,Service and other sales
apple,software,services,Software
apple,software_service_other,services,"Software, service, and other sales"
apple,itunes_software_services,services,"iTunes, software and services"
apple,services,,Services
apple,iphone,products,iPhone
apple,mac,products,Mac
apple,ipad,products,iPad
apple,wearables_home_accessories,products,"Wearables, Home, and Accessories"
apple,products,,Products
sony_corporation,entertainment,,Entertainment
sony_corporation,finance,,Insurance and Financing
sony_corporation,other,,All Other
sony_corporation,electronics,,Electronics
sony_corporation,music,entertainment,Music
sony_corporation,imaging,electronics,Imaging & Sensing Solutions
sony_corporation,semiconductors,electronics,Semiconductors
sony_corporation,mobile_communicatinos,electronics,Mobile Communications
sony_corporation,home_entertainment_sound,entertainment,Home Entertainment & Sound
sony_corporation,components,electronics,Components
sony_corporation,games,entertainment,Game & Network Services
sony_corporation,sony_mobile,electronics,Sony Mobile
sony_corporation,consumer_products_devices,electronics,Consumer Products & Devices
sony_corporation,networks_products_services,electronics,Networks 
sony_corporation,b2b_and_disk_manufacturing,electronics,B2B & Disk Manufacturing
sony_corporation,professional_device_solutions,electronics,Professional Device Solutions
sony_corporation,devices,electronics,Devices
sony_corporation,pictures,entertainment,Pictures
sony_group_corporation,entertainment,,Entertainment
sony_group_corporation,finance,,Insurance and Financing
sony_group_corporation,other,,All Other
sony_group_corporation,electronics,,Electronics
sony_group_corporation,music,entertainment,Music
sony_group_corporation,imaging,electronics,Imaging & Sensing Solutions
sony_group_corporation,pictures,entertainment,Pictures
sony_group_corporation,games,entertainment,Game & Network Services
