source_id,source_name,reliability
"billboard	",Billboard,2
pollstar,Pollstar,2
apple,Apple,1
business_of_apps,Business of Apps,2
luminate,Luminate,2
statista,Statista,3
live_nation_entertainment,Live Nation Entertainment,1
ticketmaster,Ticketmaster,1
sony_corporation,Sony Corporation,1
sony_group_corporation,Sony Group Corporation,1
warner_music_group,Warner Music Group,1
universal_music_group,Universal Music Group,1
spotify,Spotify,1
duetti,Duetti,2
music_ally,Music Ally,2
new_york_times,New York Times,2
wall_street_journal,Wall Street Journal,2
